loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,1134,73.0,113.40,7.30,2026-05-15 16:58:14
2,10,1130,72.9,113.00,7.29,2026-05-15 16:58:25
3,10,853,55.0,85.30,5.50,2026-05-15 16:58:36
4,10,1033,66.6,103.30,6.66,2026-05-15 16:58:46
5,10,1100,71.0,110.00,7.10,2026-05-15 16:58:57
6,10,1048,67.6,104.80,6.76,2026-05-15 16:59:08
7,10,1183,76.3,118.30,7.63,2026-05-15 16:59:19
8,10,872,56.3,87.20,5.63,2026-05-15 16:59:31
9,10,1493,96.3,149.30,9.63,2026-05-15 16:59:42
10,10,1400,90.1,140.00,9.01,2026-05-15 16:59:53
11,10,1482,93.5,148.20,9.35,2026-05-15 17:00:04
12,10,1454,89.2,145.40,8.92,2026-05-15 17:00:15
13,10,1562,95.8,156.20,9.58,2026-05-15 17:00:26
14,10,1203,73.8,120.30,7.38,2026-05-15 17:00:37
15,10,1570,96.2,157.00,9.62,2026-05-15 17:00:48
16,10,1263,77.4,126.30,7.74,2026-05-15 17:01:00
17,10,1535,94.1,153.50,9.41,2026-05-15 17:01:11
18,10,1545,94.8,154.50,9.48,2026-05-15 17:01:22
19,10,1081,66.3,108.10,6.63,2026-05-15 17:01:33
20,10,1344,82.4,134.40,8.24,2026-05-15 17:01:44
21,10,1467,89.9,146.70,8.99,2026-05-15 17:01:55
22,10,1521,93.2,152.10,9.32,2026-05-15 17:02:06
23,10,1161,71.2,116.10,7.12,2026-05-15 17:02:17
24,10,1555,95.1,155.50,9.51,2026-05-15 17:02:28
25,10,1569,95.9,156.90,9.59,2026-05-15 17:02:39
26,10,1006,61.5,100.60,6.15,2026-05-15 17:02:51
27,10,1233,75.4,123.30,7.54,2026-05-15 17:03:02
28,10,1125,68.8,112.50,6.88,2026-05-15 17:03:13
29,10,1470,89.8,147.00,8.98,2026-05-15 17:03:24
30,10,1354,82.8,135.40,8.28,2026-05-15 17:03:35
31,10,1538,94.1,153.80,9.41,2026-05-15 17:03:46
32,10,1556,95.2,155.60,9.52,2026-05-15 17:03:57
33,10,1350,82.6,135.00,8.26,2026-05-15 17:04:08
34,10,1233,75.6,123.30,7.56,2026-05-15 17:04:20
35,10,1316,80.7,131.60,8.07,2026-05-15 17:04:31
36,10,1274,78.1,127.40,7.81,2026-05-15 17:04:42
37,10,1527,93.7,152.70,9.37,2026-05-15 17:04:53
38,10,1526,93.6,152.60,9.36,2026-05-15 17:05:04
39,10,1627,99.8,162.70,9.98,2026-05-15 17:05:15
40,10,1266,77.6,126.60,7.76,2026-05-15 17:05:26
41,10,1637,100.4,163.70,10.04,2026-05-15 17:05:37
42,10,1210,74.1,121.00,7.41,2026-05-15 17:05:49
43,10,1234,75.6,123.40,7.56,2026-05-15 17:06:00
44,10,1237,75.7,123.70,7.57,2026-05-15 17:06:11
45,10,1244,76.2,124.40,7.62,2026-05-15 17:06:22
46,10,1180,72.2,118.00,7.22,2026-05-15 17:06:33
47,10,1169,71.6,116.90,7.16,2026-05-15 17:06:44
48,10,1597,97.9,159.70,9.79,2026-05-15 17:06:55
49,10,999,61.3,99.90,6.13,2026-05-15 17:07:07
50,10,1575,96.6,157.50,9.66,2026-05-15 17:07:18

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
1320.82,81.7,132.08,8.17
