loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,425,26.2,42.50,2.62,2026-05-15 17:11:42
2,10,985,60.8,98.50,6.08,2026-05-15 17:11:52
3,10,518,32.0,51.80,3.20,2026-05-15 17:12:03
4,10,392,24.2,39.20,2.42,2026-05-15 17:12:15
5,10,626,38.7,62.60,3.87,2026-05-15 17:12:26
6,10,1165,72.0,116.50,7.20,2026-05-15 17:12:37
7,10,891,55.1,89.10,5.51,2026-05-15 17:12:48
8,10,790,48.9,79.00,4.89,2026-05-15 17:12:59
9,10,952,58.9,95.20,5.89,2026-05-15 17:13:10
10,10,823,50.9,82.30,5.09,2026-05-15 17:13:22
11,10,992,61.3,99.20,6.13,2026-05-15 17:13:33
12,10,646,39.9,64.60,3.99,2026-05-15 17:13:44
13,10,650,40.2,65.00,4.02,2026-05-15 17:13:55
14,10,673,41.6,67.30,4.16,2026-05-15 17:14:06
15,10,585,36.2,58.50,3.62,2026-05-15 17:14:17
16,10,695,43.0,69.50,4.30,2026-05-15 17:14:28
17,10,811,50.2,81.10,5.02,2026-05-15 17:14:40
18,10,882,54.6,88.20,5.46,2026-05-15 17:14:51
19,10,692,42.8,69.20,4.28,2026-05-15 17:15:02
20,10,997,61.7,99.70,6.17,2026-05-15 17:15:13
21,10,514,31.7,51.40,3.17,2026-05-15 17:15:24
22,10,984,60.8,98.40,6.08,2026-05-15 17:15:35
23,10,1056,65.1,105.60,6.51,2026-05-15 17:15:46
24,10,636,39.2,63.60,3.92,2026-05-15 17:15:58
25,10,486,30.0,48.60,3.00,2026-05-15 17:16:09
26,10,451,27.8,45.10,2.78,2026-05-15 17:16:20
27,10,793,48.9,79.30,4.89,2026-05-15 17:16:31
28,10,909,56.1,90.90,5.61,2026-05-15 17:16:42
29,10,495,30.5,49.50,3.05,2026-05-15 17:16:53
30,10,914,56.4,91.40,5.64,2026-05-15 17:17:04
31,10,680,42.0,68.00,4.20,2026-05-15 17:17:16
32,10,702,43.3,70.20,4.33,2026-05-15 17:17:27
33,10,918,56.7,91.80,5.67,2026-05-15 17:17:38
34,10,807,49.9,80.70,4.99,2026-05-15 17:17:49
35,10,647,40.0,64.70,4.00,2026-05-15 17:18:00
36,10,1021,63.1,102.10,6.31,2026-05-15 17:18:11
37,10,996,61.5,99.60,6.15,2026-05-15 17:18:22
38,10,553,34.1,55.30,3.41,2026-05-15 17:18:33
39,10,687,42.4,68.70,4.24,2026-05-15 17:18:45
40,10,682,42.1,68.20,4.21,2026-05-15 17:18:56
41,10,958,59.1,95.80,5.91,2026-05-15 17:19:07
42,10,924,57.0,92.40,5.70,2026-05-15 17:19:18
43,10,762,47.1,76.20,4.71,2026-05-15 17:19:29
44,10,644,39.8,64.40,3.98,2026-05-15 17:19:40
45,10,948,58.6,94.80,5.86,2026-05-15 17:19:51
46,10,814,50.3,81.40,5.03,2026-05-15 17:20:03
47,10,739,45.7,73.90,4.57,2026-05-15 17:20:14
48,10,269,16.6,26.90,1.66,2026-05-15 17:20:24
49,10,409,25.3,40.90,2.53,2026-05-15 17:20:34
50,10,804,49.7,80.40,4.97,2026-05-15 17:20:44

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
747.84,46.2,74.78,4.62
