loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,2475,107.4,247.50,10.74,2026-05-15 15:58:01
2,10,2486,107.8,248.60,10.78,2026-05-15 15:58:11
3,10,2491,107.8,249.10,10.78,2026-05-15 15:58:22
4,10,2490,107.6,249.00,10.76,2026-05-15 15:58:32
5,10,2494,107.7,249.40,10.77,2026-05-15 15:58:42
6,10,2497,107.7,249.70,10.77,2026-05-15 15:58:52
7,10,2507,107.9,250.70,10.79,2026-05-15 15:59:02
8,10,2498,107.9,249.80,10.79,2026-05-15 15:59:13
9,10,2495,107.9,249.50,10.79,2026-05-15 15:59:23
10,10,2496,108.0,249.60,10.80,2026-05-15 15:59:33
11,10,2504,107.8,250.40,10.78,2026-05-15 15:59:43
12,10,2499,107.8,249.90,10.78,2026-05-15 15:59:53
13,10,2513,108.3,251.30,10.83,2026-05-15 16:00:03
14,10,2498,107.8,249.80,10.78,2026-05-15 16:00:14
15,10,2505,108.0,250.50,10.80,2026-05-15 16:00:24
16,10,2511,108.0,251.10,10.80,2026-05-15 16:00:34
17,10,2492,107.3,249.20,10.73,2026-05-15 16:00:44
18,10,2516,108.3,251.60,10.83,2026-05-15 16:00:54
19,10,2502,108.0,250.20,10.80,2026-05-15 16:01:05
20,10,2498,107.6,249.80,10.76,2026-05-15 16:01:15
21,10,2500,107.8,250.00,10.78,2026-05-15 16:01:25
22,10,2495,107.7,249.50,10.77,2026-05-15 16:01:35
23,10,2497,107.8,249.70,10.78,2026-05-15 16:01:45
24,10,2503,107.9,250.30,10.79,2026-05-15 16:01:55
25,10,2492,107.9,249.20,10.79,2026-05-15 16:02:06
26,10,2490,107.9,249.00,10.79,2026-05-15 16:02:16
27,10,2487,107.8,248.70,10.78,2026-05-15 16:02:26
28,10,2493,108.0,249.30,10.80,2026-05-15 16:02:36
29,10,2492,107.9,249.20,10.79,2026-05-15 16:02:46
30,10,2497,108.2,249.70,10.82,2026-05-15 16:02:56
31,10,2493,107.9,249.30,10.79,2026-05-15 16:03:07
32,10,2442,105.7,244.20,10.57,2026-05-15 16:03:17
33,10,2489,107.9,248.90,10.79,2026-05-15 16:03:27
34,10,2491,107.9,249.10,10.79,2026-05-15 16:03:37
35,10,2493,108.1,249.30,10.81,2026-05-15 16:03:48
36,10,2439,105.7,243.90,10.57,2026-05-15 16:03:58
37,10,2488,107.8,248.80,10.78,2026-05-15 16:04:08
38,10,2491,108.0,249.10,10.80,2026-05-15 16:04:18
39,10,2489,107.9,248.90,10.79,2026-05-15 16:04:29
40,10,2483,107.6,248.30,10.76,2026-05-15 16:04:39
41,10,2484,107.8,248.40,10.78,2026-05-15 16:04:49
42,10,2488,108.0,248.80,10.80,2026-05-15 16:04:59
43,10,2485,107.9,248.50,10.79,2026-05-15 16:05:10
44,10,2480,107.7,248.00,10.77,2026-05-15 16:05:20
45,10,2483,107.8,248.30,10.78,2026-05-15 16:05:30
46,10,2489,108.0,248.90,10.80,2026-05-15 16:05:40
47,10,2476,107.4,247.60,10.74,2026-05-15 16:05:50
48,10,2486,107.9,248.60,10.79,2026-05-15 16:06:01
49,10,2486,107.9,248.60,10.79,2026-05-15 16:06:11
50,10,2487,107.9,248.70,10.79,2026-05-15 16:06:21

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
2491.10,107.8,249.11,10.78
