loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,2216,97.6,221.60,9.76,2026-05-15 16:16:27
2,10,2442,107.5,244.20,10.75,2026-05-15 16:17:39
3,10,2442,107.3,244.20,10.73,2026-05-15 16:17:50
4,10,2449,107.7,244.90,10.77,2026-05-15 16:18:00
5,10,2449,107.7,244.90,10.77,2026-05-15 16:18:10
6,10,2449,107.8,244.90,10.78,2026-05-15 16:18:20
7,10,2446,107.8,244.60,10.78,2026-05-15 16:18:30
8,10,2451,107.9,245.10,10.79,2026-05-15 16:18:41
9,10,2458,108.1,245.80,10.81,2026-05-15 16:18:51
10,10,2452,107.9,245.20,10.79,2026-05-15 16:19:01
11,10,2447,107.7,244.70,10.77,2026-05-15 16:19:11
12,10,2453,108.0,245.30,10.80,2026-05-15 16:19:21
13,10,2448,107.7,244.80,10.77,2026-05-15 16:19:32
14,10,2454,108.0,245.40,10.80,2026-05-15 16:19:42
15,10,2455,108.1,245.50,10.81,2026-05-15 16:19:52
16,10,2439,107.4,243.90,10.74,2026-05-15 16:20:02
17,10,2452,108.0,245.20,10.80,2026-05-15 16:20:13
18,10,2451,108.0,245.10,10.80,2026-05-15 16:20:23
19,10,2445,107.9,244.50,10.79,2026-05-15 16:20:33
20,10,2435,107.5,243.50,10.75,2026-05-15 16:20:43
21,10,2445,107.9,244.50,10.79,2026-05-15 16:20:53
22,10,2447,108.0,244.70,10.80,2026-05-15 16:21:04
23,10,2438,107.7,243.80,10.77,2026-05-15 16:21:14
24,10,2442,107.9,244.20,10.79,2026-05-15 16:21:24
25,10,2440,107.8,244.00,10.78,2026-05-15 16:21:34
26,10,2440,107.8,244.00,10.78,2026-05-15 16:21:44
27,10,2445,108.0,244.50,10.80,2026-05-15 16:21:55
28,10,2445,108.0,244.50,10.80,2026-05-15 16:22:05
29,10,2435,107.6,243.50,10.76,2026-05-15 16:22:15
30,10,2442,107.9,244.20,10.79,2026-05-15 16:22:25
31,10,2436,107.6,243.60,10.76,2026-05-15 16:22:36
32,10,2440,107.8,244.00,10.78,2026-05-15 16:22:46
33,10,2436,107.6,243.60,10.76,2026-05-15 16:22:56
34,10,2428,107.3,242.80,10.73,2026-05-15 16:23:06
35,10,2446,108.1,244.60,10.81,2026-05-15 16:23:17
36,10,2437,107.7,243.70,10.77,2026-05-15 16:23:27
37,10,2446,108.1,244.60,10.81,2026-05-15 16:23:37
38,10,2441,107.9,244.10,10.79,2026-05-15 16:23:47
39,10,2435,107.6,243.50,10.76,2026-05-15 16:23:58
40,10,2444,108.0,244.40,10.80,2026-05-15 16:24:08
41,10,2438,107.8,243.80,10.78,2026-05-15 16:24:18
42,10,2392,105.8,239.20,10.58,2026-05-15 16:24:28
43,10,2439,107.9,243.90,10.79,2026-05-15 16:24:38
44,10,2426,107.3,242.60,10.73,2026-05-15 16:24:49
45,10,2437,107.8,243.70,10.78,2026-05-15 16:24:59
46,10,2437,107.9,243.70,10.79,2026-05-15 16:25:09
47,10,2436,107.8,243.60,10.78,2026-05-15 16:25:19
48,10,2431,107.6,243.10,10.76,2026-05-15 16:25:30
49,10,2431,107.6,243.10,10.76,2026-05-15 16:25:40
50,10,2431,107.5,243.10,10.75,2026-05-15 16:25:50

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
2436.78,107.5,243.68,10.75
