loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,911,56.1,91.10,5.61,2026-05-15 17:11:52
2,10,917,56.6,91.70,5.66,2026-05-15 17:12:04
3,10,884,54.6,88.40,5.46,2026-05-15 17:12:15
4,10,964,59.6,96.40,5.96,2026-05-15 17:12:26
5,10,598,37.0,59.80,3.70,2026-05-15 17:12:38
6,10,576,35.6,57.60,3.56,2026-05-15 17:12:48
7,10,462,28.6,46.20,2.86,2026-05-15 17:12:59
8,10,398,24.6,39.80,2.46,2026-05-15 17:13:10
9,10,366,22.6,36.60,2.26,2026-05-15 17:13:22
10,10,366,22.6,36.60,2.26,2026-05-15 17:13:33
11,10,660,40.8,66.00,4.08,2026-05-15 17:13:44
12,10,695,43.0,69.50,4.30,2026-05-15 17:13:55
13,10,638,39.5,63.80,3.95,2026-05-15 17:14:06
14,10,646,40.0,64.60,4.00,2026-05-15 17:14:18
15,10,678,42.0,67.80,4.20,2026-05-15 17:14:29
16,10,528,32.7,52.80,3.27,2026-05-15 17:14:40
17,10,436,27.0,43.60,2.70,2026-05-15 17:14:51
18,10,675,41.8,67.50,4.18,2026-05-15 17:15:02
19,10,302,18.7,30.20,1.87,2026-05-15 17:15:13
20,10,738,45.5,73.80,4.55,2026-05-15 17:15:25
21,10,381,23.5,38.10,2.35,2026-05-15 17:15:36
22,10,310,19.1,31.00,1.91,2026-05-15 17:15:47
23,10,982,60.5,98.20,6.05,2026-05-15 17:15:58
24,10,975,60.1,97.50,6.01,2026-05-15 17:16:09
25,10,961,59.3,96.10,5.93,2026-05-15 17:16:21
26,10,690,42.6,69.00,4.26,2026-05-15 17:16:32
27,10,618,38.1,61.80,3.81,2026-05-15 17:16:43
28,10,1002,61.8,100.20,6.18,2026-05-15 17:16:54
29,10,349,21.5,34.90,2.15,2026-05-15 17:17:05
30,10,566,34.9,56.60,3.49,2026-05-15 17:17:16
31,10,674,41.6,67.40,4.16,2026-05-15 17:17:28
32,10,496,30.6,49.60,3.06,2026-05-15 17:17:39
33,10,833,51.5,83.30,5.15,2026-05-15 17:17:50
34,10,827,51.1,82.70,5.11,2026-05-15 17:18:01
35,10,313,19.3,31.30,1.93,2026-05-15 17:18:12
36,10,511,31.6,51.10,3.16,2026-05-15 17:18:23
37,10,979,60.4,97.90,6.04,2026-05-15 17:18:35
38,10,709,43.8,70.90,4.38,2026-05-15 17:18:46
39,10,628,38.8,62.80,3.88,2026-05-15 17:18:57
40,10,298,18.4,29.80,1.84,2026-05-15 17:19:08
41,10,462,28.5,46.20,2.85,2026-05-15 17:19:19
42,10,447,27.6,44.70,2.76,2026-05-15 17:19:31
43,10,581,35.9,58.10,3.59,2026-05-15 17:19:42
44,10,388,24.0,38.80,2.40,2026-05-15 17:19:53
45,10,466,28.8,46.60,2.88,2026-05-15 17:20:04
46,10,697,43.1,69.70,4.31,2026-05-15 17:20:15
47,10,965,59.6,96.50,5.96,2026-05-15 17:20:27
48,10,929,57.4,92.90,5.74,2026-05-15 17:20:38
49,10,527,32.6,52.70,3.26,2026-05-15 17:20:49
50,10,1367,84.5,136.70,8.45,2026-05-15 17:21:00

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
647.38,40.0,64.74,4.00
