loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,1357,94.5,135.70,9.45,2026-05-15 16:17:41
2,10,1498,104.5,149.80,10.45,2026-05-15 16:18:01
3,10,1282,89.5,128.20,8.95,2026-05-15 16:18:12
4,10,1520,106.2,152.00,10.62,2026-05-15 16:18:32
5,10,1255,87.6,125.50,8.76,2026-05-15 16:18:43
6,10,1546,107.9,154.60,10.79,2026-05-15 16:19:01
7,10,1443,100.6,144.30,10.06,2026-05-15 16:19:21
8,10,1543,107.7,154.30,10.77,2026-05-15 16:19:31
9,10,1290,90.0,129.00,9.00,2026-05-15 16:19:42
10,10,1481,103.4,148.10,10.34,2026-05-15 16:19:54
11,10,1520,106.1,152.00,10.61,2026-05-15 16:20:14
12,10,1149,80.2,114.90,8.02,2026-05-15 16:20:25
13,10,1526,106.6,152.60,10.66,2026-05-15 16:20:45
14,10,1440,100.6,144.00,10.06,2026-05-15 16:21:05
15,10,1430,99.9,143.00,9.99,2026-05-15 16:21:24
16,10,1521,106.3,152.10,10.63,2026-05-15 16:21:45
17,10,1522,106.4,152.20,10.64,2026-05-15 16:22:05
18,10,1439,100.6,143.90,10.06,2026-05-15 16:22:24
19,10,1539,107.6,153.90,10.76,2026-05-15 16:22:43
20,10,1544,108.0,154.40,10.80,2026-05-15 16:22:53
21,10,1481,103.6,148.10,10.36,2026-05-15 16:23:03
22,10,1261,88.2,126.10,8.82,2026-05-15 16:23:14
23,10,1542,107.9,154.20,10.79,2026-05-15 16:23:24
24,10,1520,106.3,152.00,10.63,2026-05-15 16:23:45
25,10,1342,93.8,134.20,9.38,2026-05-15 16:23:55
26,10,1289,90.1,128.90,9.01,2026-05-15 16:24:07
27,10,1409,98.6,140.90,9.86,2026-05-15 16:24:17
28,10,1405,98.3,140.50,9.83,2026-05-15 16:24:35
29,10,1262,88.3,126.20,8.83,2026-05-15 16:24:46
30,10,1531,107.2,153.10,10.72,2026-05-15 16:24:56
31,10,1539,107.7,153.90,10.77,2026-05-15 16:25:06
32,10,1546,108.2,154.60,10.82,2026-05-15 16:25:17
33,10,1240,86.8,124.00,8.68,2026-05-15 16:25:27
34,10,1549,108.4,154.90,10.84,2026-05-15 16:25:39
35,10,1368,95.7,136.80,9.57,2026-05-15 16:25:50
36,10,1392,97.4,139.20,9.74,2026-05-15 16:26:02
37,10,1530,106.9,153.00,10.69,2026-05-15 16:26:12
38,10,1530,106.9,153.00,10.69,2026-05-15 16:26:23
39,10,1545,107.9,154.50,10.79,2026-05-15 16:26:33
40,10,1440,100.6,144.00,10.06,2026-05-15 16:26:43
41,10,518,36.1,51.80,3.61,2026-05-15 16:26:54
42,10,1421,99.1,142.10,9.91,2026-05-15 16:27:04
43,10,1235,86.1,123.50,8.61,2026-05-15 16:27:14
44,10,1455,101.4,145.50,10.14,2026-05-15 16:27:27
45,10,1278,89.1,127.80,8.91,2026-05-15 16:27:38
46,10,1548,107.9,154.80,10.79,2026-05-15 16:27:59
47,10,1545,107.7,154.50,10.77,2026-05-15 16:28:09
48,10,1544,107.6,154.40,10.76,2026-05-15 16:28:20
49,10,1245,86.8,124.50,8.68,2026-05-15 16:28:30
50,10,1545,107.7,154.50,10.77,2026-05-15 16:28:41

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
1418.00,99.0,141.80,9.90
