loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,803,43.9,80.30,4.39,2026-05-11 12:12:08
2,10,898,49.4,89.80,4.94,2026-05-11 12:12:20
3,10,930,51.2,93.00,5.12,2026-05-11 12:12:30
4,10,906,49.8,90.60,4.98,2026-05-11 12:12:40
5,10,912,50.2,91.20,5.02,2026-05-11 12:12:51
6,10,818,45.0,81.80,4.50,2026-05-11 12:13:02
7,10,851,46.9,85.10,4.69,2026-05-11 12:13:13
8,10,881,48.5,88.10,4.85,2026-05-11 12:13:24
9,10,851,46.9,85.10,4.69,2026-05-11 12:13:34
10,10,893,49.2,89.30,4.92,2026-05-11 12:13:45
11,10,854,47.1,85.40,4.71,2026-05-11 12:13:56
12,10,886,48.8,88.60,4.88,2026-05-11 12:14:07
13,10,885,48.8,88.50,4.88,2026-05-11 12:14:18
14,10,745,41.1,74.50,4.11,2026-05-11 12:14:29
15,10,853,47.0,85.30,4.70,2026-05-11 12:14:40
16,10,902,49.8,90.20,4.98,2026-05-11 12:14:52
17,10,648,35.7,64.80,3.57,2026-05-11 12:15:03
18,10,855,46.9,85.50,4.69,2026-05-11 12:15:13
19,10,934,51.2,93.40,5.12,2026-05-11 12:15:23
20,10,770,42.2,77.00,4.22,2026-05-11 12:15:34
21,10,882,48.4,88.20,4.84,2026-05-11 12:15:46
22,10,862,47.3,86.20,4.73,2026-05-11 12:15:56
23,10,740,40.3,74.00,4.03,2026-05-11 12:16:06
24,10,897,48.5,89.70,4.85,2026-05-11 12:16:17
25,10,785,42.4,78.50,4.24,2026-05-11 12:16:28
26,10,850,45.9,85.00,4.59,2026-05-11 12:16:38
27,10,939,50.7,93.90,5.07,2026-05-11 12:16:48
28,10,795,43.0,79.50,4.30,2026-05-11 12:16:59
29,10,957,51.9,95.70,5.19,2026-05-11 12:17:11
30,10,724,39.3,72.40,3.93,2026-05-11 12:17:22
31,10,931,50.5,93.10,5.05,2026-05-11 12:17:33
32,10,920,50.0,92.00,5.00,2026-05-11 12:17:43
33,10,838,45.5,83.80,4.55,2026-05-11 12:17:54
34,10,817,44.3,81.70,4.43,2026-05-11 12:18:05
35,10,908,49.4,90.80,4.94,2026-05-11 12:18:15
36,10,714,38.8,71.40,3.88,2026-05-11 12:18:26
37,10,910,49.2,91.00,4.92,2026-05-11 12:18:37
38,10,839,45.1,83.90,4.51,2026-05-11 12:18:48
39,10,846,45.3,84.60,4.53,2026-05-11 12:18:59
40,10,865,46.3,86.50,4.63,2026-05-11 12:19:10
41,10,822,43.9,82.20,4.39,2026-05-11 12:19:20
42,10,950,50.8,95.00,5.08,2026-05-11 12:19:31
43,10,912,48.6,91.20,4.86,2026-05-11 12:19:42
44,10,819,43.7,81.90,4.37,2026-05-11 12:19:53
45,10,853,45.5,85.30,4.55,2026-05-11 12:20:04
46,10,895,47.8,89.50,4.78,2026-05-11 12:20:16
47,10,885,47.2,88.50,4.72,2026-05-11 12:20:27
48,10,973,52.0,97.30,5.20,2026-05-11 12:20:38
49,10,849,45.2,84.90,4.52,2026-05-11 12:20:49
50,10,940,50.2,94.00,5.02,2026-05-11 12:20:59

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
859.84,46.7,85.98,4.67
