loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,753,44.2,75.30,4.42,2026-05-12 15:44:08
2,10,798,44.4,79.80,4.44,2026-05-12 15:44:19
3,10,717,40.9,71.70,4.09,2026-05-12 15:44:31
4,10,707,40.0,70.70,4.00,2026-05-12 15:44:41
5,10,830,46.7,83.00,4.67,2026-05-12 15:44:53
6,10,775,44.1,77.50,4.41,2026-05-12 15:45:04
7,10,728,42.6,72.80,4.26,2026-05-12 15:45:16
8,10,720,42.1,72.00,4.21,2026-05-12 15:45:28
9,10,691,40.7,69.10,4.07,2026-05-12 15:45:39
10,10,774,46.1,77.40,4.61,2026-05-12 15:45:50
11,10,745,43.3,74.50,4.33,2026-05-12 15:46:01
12,10,714,42.1,71.40,4.21,2026-05-12 15:46:12
13,10,782,45.8,78.20,4.58,2026-05-12 15:46:23
14,10,741,44.3,74.10,4.43,2026-05-12 15:46:34
15,10,766,45.6,76.60,4.56,2026-05-12 15:46:45
16,10,742,43.4,74.20,4.34,2026-05-12 15:46:56
17,10,718,42.6,71.80,4.26,2026-05-12 15:47:07
18,10,748,43.9,74.80,4.39,2026-05-12 15:47:18
19,10,765,44.1,76.50,4.41,2026-05-12 15:47:29
20,10,742,44.4,74.20,4.44,2026-05-12 15:47:40
21,10,804,46.5,80.40,4.65,2026-05-12 15:47:53
22,10,771,45.3,77.10,4.53,2026-05-12 15:48:04
23,10,736,43.3,73.60,4.33,2026-05-12 15:48:15
24,10,766,45.0,76.60,4.50,2026-05-12 15:48:26
25,10,753,43.9,75.30,4.39,2026-05-12 15:48:37
26,10,783,46.1,78.30,4.61,2026-05-12 15:48:49
27,10,758,44.4,75.80,4.44,2026-05-12 15:49:00
28,10,738,42.7,73.80,4.27,2026-05-12 15:49:11
29,10,775,44.8,77.50,4.48,2026-05-12 15:49:22
30,10,706,42.7,70.60,4.27,2026-05-12 15:49:34
31,10,758,44.1,75.80,4.41,2026-05-12 15:49:46
32,10,671,40.3,67.10,4.03,2026-05-12 15:49:57
33,10,716,42.3,71.60,4.23,2026-05-12 15:50:08
34,10,729,42.7,72.90,4.27,2026-05-12 15:50:20
35,10,817,47.1,81.70,4.71,2026-05-12 15:50:31
36,10,757,45.8,75.70,4.58,2026-05-12 15:50:42
37,10,701,41.4,70.10,4.14,2026-05-12 15:50:53
38,10,751,44.6,75.10,4.46,2026-05-12 15:51:04
39,10,757,44.9,75.70,4.49,2026-05-12 15:51:15
40,10,759,45.1,75.90,4.51,2026-05-12 15:51:26
41,10,766,45.8,76.60,4.58,2026-05-12 15:51:38
42,10,730,43.9,73.00,4.39,2026-05-12 15:51:49
43,10,626,37.9,62.60,3.79,2026-05-12 15:52:00
44,10,737,43.8,73.70,4.38,2026-05-12 15:52:11
45,10,757,44.1,75.70,4.41,2026-05-12 15:52:22
46,10,703,42.8,70.30,4.28,2026-05-12 15:52:33
47,10,764,44.6,76.40,4.46,2026-05-12 15:52:45
48,10,730,43.6,73.00,4.36,2026-05-12 15:52:56
49,10,771,44.7,77.10,4.47,2026-05-12 15:53:07
50,10,752,44.2,75.20,4.42,2026-05-12 15:53:18

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
745.96,43.8,74.60,4.38
