loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,1016,51.7,101.60,5.17,2026-05-11 12:49:05
2,10,988,51.1,98.80,5.11,2026-05-11 12:49:15
3,10,1013,51.7,101.30,5.17,2026-05-11 12:49:25
4,10,995,51.8,99.50,5.18,2026-05-11 12:49:36
5,10,1013,50.8,101.30,5.08,2026-05-11 12:49:47
6,10,994,51.3,99.40,5.13,2026-05-11 12:49:58
7,10,989,51.0,98.90,5.10,2026-05-11 12:50:08
8,10,1013,51.9,101.30,5.19,2026-05-11 12:50:19
9,10,1003,51.9,100.30,5.19,2026-05-11 12:50:30
10,10,985,50.4,98.50,5.04,2026-05-11 12:50:41
11,10,1000,50.9,100.00,5.09,2026-05-11 12:50:52
12,10,1020,51.8,102.00,5.18,2026-05-11 12:51:03
13,10,981,50.1,98.10,5.01,2026-05-11 12:51:14
14,10,983,50.1,98.30,5.01,2026-05-11 12:51:25
15,10,1018,52.1,101.80,5.21,2026-05-11 12:51:36
16,10,1009,51.4,100.90,5.14,2026-05-11 12:51:47
17,10,1017,51.5,101.70,5.15,2026-05-11 12:51:58
18,10,996,51.6,99.60,5.16,2026-05-11 12:52:09
19,10,995,50.8,99.50,5.08,2026-05-11 12:52:20
20,10,966,49.5,96.60,4.95,2026-05-11 12:52:31
21,10,964,49.7,96.40,4.97,2026-05-11 12:52:42
22,10,984,50.7,98.40,5.07,2026-05-11 12:52:53
23,10,1011,52.0,101.10,5.20,2026-05-11 12:53:04
24,10,1035,52.5,103.50,5.25,2026-05-11 12:53:15
25,10,1019,51.9,101.90,5.19,2026-05-11 12:53:26
26,10,1006,52.1,100.60,5.21,2026-05-11 12:53:36
27,10,975,50.2,97.50,5.02,2026-05-11 12:53:47
28,10,986,49.8,98.60,4.98,2026-05-11 12:53:58
29,10,952,48.8,95.20,4.88,2026-05-11 12:54:10
30,10,968,49.6,96.80,4.96,2026-05-11 12:54:20
31,10,988,50.8,98.80,5.08,2026-05-11 12:54:31
32,10,977,49.3,97.70,4.93,2026-05-11 12:54:42
33,10,966,48.9,96.60,4.89,2026-05-11 12:54:52
34,10,929,49.4,92.90,4.94,2026-05-11 12:55:03
35,10,1037,52.4,103.70,5.24,2026-05-11 12:55:14
36,10,973,50.9,97.30,5.09,2026-05-11 12:55:25
37,10,1032,52.5,103.20,5.25,2026-05-11 12:55:36
38,10,990,51.4,99.00,5.14,2026-05-11 12:55:46
39,10,985,50.2,98.50,5.02,2026-05-11 12:55:57
40,10,1009,51.4,100.90,5.14,2026-05-11 12:56:08
41,10,1034,52.9,103.40,5.29,2026-05-11 12:56:19
42,10,989,50.7,98.90,5.07,2026-05-11 12:56:30
43,10,1011,51.3,101.10,5.13,2026-05-11 12:56:41
44,10,1003,51.3,100.30,5.13,2026-05-11 12:56:52
45,10,1003,52.0,100.30,5.20,2026-05-11 12:57:02
46,10,1023,51.9,102.30,5.19,2026-05-11 12:57:13
47,10,1008,52.3,100.80,5.23,2026-05-11 12:57:24
48,10,976,49.6,97.60,4.96,2026-05-11 12:57:35
49,10,1008,50.7,100.80,5.07,2026-05-11 12:57:46
50,10,1014,52.2,101.40,5.22,2026-05-11 12:57:57

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
996.98,51.1,99.70,5.11
