loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,442,24.1,44.20,2.41,2026-05-11 13:41:42
2,10,80,4.4,8.00,0.44,2026-05-11 13:41:53
3,10,60,3.3,6.00,0.33,2026-05-11 13:42:05
4,10,107,5.9,10.70,0.59,2026-05-11 13:42:16
5,10,74,4.1,7.40,0.41,2026-05-11 13:42:28
6,10,115,6.4,11.50,0.64,2026-05-11 13:42:40
7,10,64,3.5,6.40,0.35,2026-05-11 13:42:52
8,10,147,8.1,14.70,0.81,2026-05-11 13:43:05
9,10,95,5.3,9.50,0.53,2026-05-11 13:43:18
10,10,59,3.3,5.90,0.33,2026-05-11 13:43:30
11,10,34,1.9,3.40,0.19,2026-05-11 13:43:43
12,10,57,3.2,5.70,0.32,2026-05-11 13:43:55
13,10,40,2.2,4.00,0.22,2026-05-11 13:44:07
14,10,92,5.1,9.20,0.51,2026-05-11 13:44:17
15,10,47,2.6,4.70,0.26,2026-05-11 13:44:29
16,10,40,2.2,4.00,0.22,2026-05-11 13:44:41
17,10,65,3.6,6.50,0.36,2026-05-11 13:44:53
18,10,87,4.8,8.70,0.48,2026-05-11 13:45:04
19,10,38,2.1,3.80,0.21,2026-05-11 13:45:17
20,10,54,3.0,5.40,0.30,2026-05-11 13:45:30
21,10,72,4.0,7.20,0.40,2026-05-11 13:45:43
22,10,143,7.9,14.30,0.79,2026-05-11 13:45:54
23,10,35,1.9,3.50,0.19,2026-05-11 13:46:06
24,10,44,2.4,4.40,0.24,2026-05-11 13:46:18
25,10,43,2.4,4.30,0.24,2026-05-11 13:46:29
26,10,24,1.3,2.40,0.13,2026-05-11 13:46:42
27,10,66,3.7,6.60,0.37,2026-05-11 13:46:54
28,10,105,5.8,10.50,0.58,2026-05-11 13:47:06
29,10,120,6.6,12.00,0.66,2026-05-11 13:47:18
30,10,108,6.0,10.80,0.60,2026-05-11 13:47:29
31,10,117,6.5,11.70,0.65,2026-05-11 13:47:41
32,10,87,4.8,8.70,0.48,2026-05-11 13:47:53
33,10,140,7.7,14.00,0.77,2026-05-11 13:48:05
34,10,97,5.3,9.70,0.53,2026-05-11 13:48:18
35,10,163,9.0,16.30,0.90,2026-05-11 13:48:30
36,10,262,14.4,26.20,1.44,2026-05-11 13:48:42
37,10,76,4.2,7.60,0.42,2026-05-11 13:48:54
38,10,131,7.2,13.10,0.72,2026-05-11 13:49:06
39,10,86,4.7,8.60,0.47,2026-05-11 13:49:17
40,10,71,3.9,7.10,0.39,2026-05-11 13:49:39
41,10,143,7.8,14.30,0.78,2026-05-11 13:49:52
42,10,211,11.6,21.10,1.16,2026-05-11 13:50:03
43,10,66,3.6,6.60,0.36,2026-05-11 13:50:16
44,10,51,2.8,5.10,0.28,2026-05-11 13:50:30
45,10,105,5.7,10.50,0.57,2026-05-11 13:50:42
46,10,661,36.2,66.10,3.62,2026-05-11 13:50:53
47,10,815,44.5,81.50,4.45,2026-05-11 13:51:04
48,10,838,45.7,83.80,4.57,2026-05-11 13:51:16
49,10,810,43.3,81.00,4.33,2026-05-11 13:51:27
50,10,867,44.4,86.70,4.44,2026-05-11 13:51:37

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
167.08,9.1,16.71,0.91
