loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,912,51.0,91.20,5.10,2026-05-11 13:06:19
2,10,943,50.7,94.30,5.07,2026-05-11 13:06:31
3,10,907,49.7,90.70,4.97,2026-05-11 13:06:42
4,10,917,51.0,91.70,5.10,2026-05-11 13:06:53
5,10,906,51.0,90.60,5.10,2026-05-11 13:07:05
6,10,930,50.7,93.00,5.07,2026-05-11 13:07:16
7,10,937,50.0,93.70,5.00,2026-05-11 13:07:27
8,10,937,52.8,93.70,5.28,2026-05-11 13:07:38
9,10,933,51.9,93.30,5.19,2026-05-11 13:07:50
10,10,953,52.8,95.30,5.28,2026-05-11 13:08:01
11,10,926,52.6,92.60,5.26,2026-05-11 13:08:12
12,10,913,51.6,91.30,5.16,2026-05-11 13:08:23
13,10,947,52.5,94.70,5.25,2026-05-11 13:08:34
14,10,904,52.5,90.40,5.25,2026-05-11 13:08:45
15,10,926,50.4,92.60,5.04,2026-05-11 13:08:56
16,10,889,50.1,88.90,5.01,2026-05-11 13:09:08
17,10,902,49.9,90.20,4.99,2026-05-11 13:09:19
18,10,879,50.9,87.90,5.09,2026-05-11 13:09:30
19,10,926,52.1,92.60,5.21,2026-05-11 13:09:41
20,10,942,52.5,94.20,5.25,2026-05-11 13:09:52
21,10,950,52.6,95.00,5.26,2026-05-11 13:10:04
22,10,938,52.4,93.80,5.24,2026-05-11 13:10:15
23,10,919,52.3,91.90,5.23,2026-05-11 13:10:26
24,10,924,51.9,92.40,5.19,2026-05-11 13:10:37
25,10,926,52.2,92.60,5.22,2026-05-11 13:10:49
26,10,940,52.2,94.00,5.22,2026-05-11 13:11:00
27,10,929,51.8,92.90,5.18,2026-05-11 13:11:11
28,10,931,52.4,93.10,5.24,2026-05-11 13:11:22
29,10,903,50.5,90.30,5.05,2026-05-11 13:11:33
30,10,1002,53.7,100.20,5.37,2026-05-11 13:11:44
31,10,944,52.3,94.40,5.23,2026-05-11 13:11:55
32,10,942,51.7,94.20,5.17,2026-05-11 13:12:06
33,10,930,52.2,93.00,5.22,2026-05-11 13:12:18
34,10,925,52.5,92.50,5.25,2026-05-11 13:12:29
35,10,918,51.6,91.80,5.16,2026-05-11 13:12:39
36,10,954,52.1,95.40,5.21,2026-05-11 13:12:50
37,10,874,50.0,87.40,5.00,2026-05-11 13:13:01
38,10,926,50.0,92.60,5.00,2026-05-11 13:13:13
39,10,915,50.8,91.50,5.08,2026-05-11 13:13:24
40,10,910,50.9,91.00,5.09,2026-05-11 13:13:35
41,10,942,51.5,94.20,5.15,2026-05-11 13:13:46
42,10,976,52.8,97.60,5.28,2026-05-11 13:13:57
43,10,941,52.8,94.10,5.28,2026-05-11 13:14:08
44,10,950,51.9,95.00,5.19,2026-05-11 13:14:19
45,10,945,53.5,94.50,5.35,2026-05-11 13:14:31
46,10,964,53.7,96.40,5.37,2026-05-11 13:14:42
47,10,945,51.9,94.50,5.19,2026-05-11 13:14:54
48,10,904,52.9,90.40,5.29,2026-05-11 13:15:05
49,10,847,49.3,84.70,4.93,2026-05-11 13:15:16
50,10,806,45.7,80.60,4.57,2026-05-11 13:15:27

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
924.98,51.6,92.50,5.16
