loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,416,20.9,41.60,2.09,2026-05-12 15:01:22
2,10,105,5.3,10.50,0.53,2026-05-12 15:01:32
3,10,102,5.2,10.20,0.52,2026-05-12 15:01:43
4,10,217,11.0,21.70,1.10,2026-05-12 15:01:53
5,10,295,15.0,29.50,1.50,2026-05-12 15:02:03
6,10,230,11.6,23.00,1.16,2026-05-12 15:02:13
7,10,289,14.6,28.90,1.46,2026-05-12 15:02:24
8,10,99,5.0,9.90,0.50,2026-05-12 15:02:34
9,10,217,11.0,21.70,1.10,2026-05-12 15:02:44
10,10,203,11.1,20.30,1.11,2026-05-12 15:02:54
11,10,165,9.2,16.50,0.92,2026-05-12 15:03:04
12,10,164,9.2,16.40,0.92,2026-05-12 15:03:14
13,10,171,9.6,17.10,0.96,2026-05-12 15:03:25
14,10,154,8.7,15.40,0.87,2026-05-12 15:03:35
15,10,196,11.0,19.60,1.10,2026-05-12 15:03:45
16,10,177,10.0,17.70,1.00,2026-05-12 15:03:55
17,10,447,25.2,44.70,2.52,2026-05-12 15:04:05
18,10,237,13.4,23.70,1.34,2026-05-12 15:04:15
19,10,158,8.9,15.80,0.89,2026-05-12 15:04:25
20,10,88,5.0,8.80,0.50,2026-05-12 15:04:35
21,10,152,8.6,15.20,0.86,2026-05-12 15:04:46
22,10,179,10.1,17.90,1.01,2026-05-12 15:04:56
23,10,242,13.6,24.20,1.36,2026-05-12 15:05:06
24,10,187,10.5,18.70,1.05,2026-05-12 15:05:16
25,10,262,14.7,26.20,1.47,2026-05-12 15:05:26
26,10,182,10.2,18.20,1.02,2026-05-12 15:05:37
27,10,120,6.7,12.00,0.67,2026-05-12 15:05:47
28,10,157,8.8,15.70,0.88,2026-05-12 15:05:57
29,10,115,6.4,11.50,0.64,2026-05-12 15:06:07
30,10,157,8.8,15.70,0.88,2026-05-12 15:06:17
31,10,163,9.1,16.30,0.91,2026-05-12 15:06:27
32,10,179,10.0,17.90,1.00,2026-05-12 15:06:37
33,10,192,10.7,19.20,1.07,2026-05-12 15:06:47
34,10,173,9.6,17.30,0.96,2026-05-12 15:06:57
35,10,175,9.8,17.50,0.98,2026-05-12 15:07:08
36,10,182,10.2,18.20,1.02,2026-05-12 15:07:18
37,10,416,23.4,41.60,2.34,2026-05-12 15:07:28
38,10,155,8.7,15.50,0.87,2026-05-12 15:07:38
39,10,173,9.7,17.30,0.97,2026-05-12 15:07:48
40,10,238,13.3,23.80,1.33,2026-05-12 15:07:58
41,10,179,10.0,17.90,1.00,2026-05-12 15:08:09
42,10,277,15.5,27.70,1.55,2026-05-12 15:08:19
43,10,163,9.1,16.30,0.91,2026-05-12 15:08:30
44,10,311,17.4,31.10,1.74,2026-05-12 15:08:40
45,10,445,25.0,44.50,2.50,2026-05-12 15:08:50
46,10,140,7.9,14.00,0.79,2026-05-12 15:09:01
47,10,142,8.0,14.20,0.80,2026-05-12 15:09:11
48,10,112,6.3,11.20,0.63,2026-05-12 15:09:21
49,10,170,9.6,17.00,0.96,2026-05-12 15:09:31
50,10,177,9.9,17.70,0.99,2026-05-12 15:09:41

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
200.90,11.0,20.09,1.10
