loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,857,48.8,85.70,4.88,2026-05-12 15:26:23
2,10,737,43.4,73.70,4.34,2026-05-12 15:26:33
3,10,755,43.9,75.50,4.39,2026-05-12 15:26:43
4,10,736,43.9,73.60,4.39,2026-05-12 15:26:53
5,10,720,41.9,72.00,4.19,2026-05-12 15:27:03
6,10,775,44.9,77.50,4.49,2026-05-12 15:27:13
7,10,769,44.5,76.90,4.45,2026-05-12 15:27:23
8,10,720,42.4,72.00,4.24,2026-05-12 15:27:33
9,10,692,40.0,69.20,4.00,2026-05-12 15:27:43
10,10,759,44.1,75.90,4.41,2026-05-12 15:27:53
11,10,707,42.1,70.70,4.21,2026-05-12 15:28:04
12,10,827,46.4,82.70,4.64,2026-05-12 15:28:14
13,10,784,45.7,78.40,4.57,2026-05-12 15:28:24
14,10,749,43.9,74.90,4.39,2026-05-12 15:28:34
15,10,739,44.5,73.90,4.45,2026-05-12 15:28:44
16,10,716,43.0,71.60,4.30,2026-05-12 15:28:54
17,10,692,42.0,69.20,4.20,2026-05-12 15:29:04
18,10,735,44.9,73.50,4.49,2026-05-12 15:29:15
19,10,762,45.5,76.20,4.55,2026-05-12 15:29:25
20,10,708,42.3,70.80,4.23,2026-05-12 15:29:35
21,10,740,45.2,74.00,4.52,2026-05-12 15:29:45
22,10,698,42.9,69.80,4.29,2026-05-12 15:29:55
23,10,731,45.0,73.10,4.50,2026-05-12 15:30:05
24,10,743,45.2,74.30,4.52,2026-05-12 15:30:15
25,10,739,45.3,73.90,4.53,2026-05-12 15:30:25
26,10,721,44.5,72.10,4.45,2026-05-12 15:30:35
27,10,704,43.7,70.40,4.37,2026-05-12 15:30:46
28,10,744,45.5,74.40,4.55,2026-05-12 15:30:56
29,10,741,45.4,74.10,4.54,2026-05-12 15:31:06
30,10,655,40.4,65.50,4.04,2026-05-12 15:31:16
31,10,680,41.9,68.00,4.19,2026-05-12 15:31:26
32,10,737,44.6,73.70,4.46,2026-05-12 15:31:36
33,10,711,43.4,71.10,4.34,2026-05-12 15:31:46
34,10,742,44.7,74.20,4.47,2026-05-12 15:31:56
35,10,749,45.0,74.90,4.50,2026-05-12 15:32:07
36,10,770,46.4,77.00,4.64,2026-05-12 15:32:17
37,10,789,47.5,78.90,4.75,2026-05-12 15:32:27
38,10,675,40.7,67.50,4.07,2026-05-12 15:32:37
39,10,686,42.1,68.60,4.21,2026-05-12 15:32:47
40,10,716,44.0,71.60,4.40,2026-05-12 15:32:57
41,10,749,45.4,74.90,4.54,2026-05-12 15:33:07
42,10,762,44.7,76.20,4.47,2026-05-12 15:33:17
43,10,724,43.7,72.40,4.37,2026-05-12 15:33:28
44,10,667,41.7,66.70,4.17,2026-05-12 15:33:38
45,10,660,40.9,66.00,4.09,2026-05-12 15:33:48
46,10,710,42.8,71.00,4.28,2026-05-12 15:33:58
47,10,739,42.9,73.90,4.29,2026-05-12 15:34:08
48,10,731,44.2,73.10,4.42,2026-05-12 15:34:18
49,10,779,46.4,77.90,4.64,2026-05-12 15:34:28
50,10,763,45.3,76.30,4.53,2026-05-12 15:34:38

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
733.88,44.0,73.39,4.40
