loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,499,24.4,49.90,2.44,2026-05-11 13:41:42
2,10,587,28.7,58.70,2.87,2026-05-11 13:41:53
3,10,402,19.6,40.20,1.96,2026-05-11 13:42:04
4,10,249,12.2,24.90,1.22,2026-05-11 13:42:15
5,10,411,20.1,41.10,2.01,2026-05-11 13:42:27
6,10,372,18.2,37.20,1.82,2026-05-11 13:42:38
7,10,281,13.7,28.10,1.37,2026-05-11 13:42:49
8,10,416,20.3,41.60,2.03,2026-05-11 13:42:59
9,10,273,13.3,27.30,1.33,2026-05-11 13:43:11
10,10,475,23.2,47.50,2.32,2026-05-11 13:43:22
11,10,344,16.8,34.40,1.68,2026-05-11 13:43:33
12,10,320,15.6,32.00,1.56,2026-05-11 13:43:43
13,10,488,23.9,48.80,2.39,2026-05-11 13:43:55
14,10,526,25.7,52.60,2.57,2026-05-11 13:44:07
15,10,290,14.2,29.00,1.42,2026-05-11 13:44:17
16,10,307,15.0,30.70,1.50,2026-05-11 13:44:28
17,10,403,19.7,40.30,1.97,2026-05-11 13:44:39
18,10,356,17.4,35.60,1.74,2026-05-11 13:44:51
19,10,458,22.4,45.80,2.24,2026-05-11 13:45:02
20,10,293,14.3,29.30,1.43,2026-05-11 13:45:13
21,10,438,21.4,43.80,2.14,2026-05-11 13:45:23
22,10,408,20.0,40.80,2.00,2026-05-11 13:45:34
23,10,278,13.6,27.80,1.36,2026-05-11 13:45:45
24,10,264,12.9,26.40,1.29,2026-05-11 13:45:56
25,10,434,21.2,43.40,2.12,2026-05-11 13:46:06
26,10,388,19.0,38.80,1.90,2026-05-11 13:46:18
27,10,322,15.8,32.20,1.58,2026-05-11 13:46:29
28,10,385,18.8,38.50,1.88,2026-05-11 13:46:40
29,10,271,13.3,27.10,1.33,2026-05-11 13:46:51
30,10,325,15.9,32.50,1.59,2026-05-11 13:47:02
31,10,295,14.4,29.50,1.44,2026-05-11 13:47:14
32,10,482,23.6,48.20,2.36,2026-05-11 13:47:25
33,10,362,17.7,36.20,1.77,2026-05-11 13:47:36
34,10,289,14.1,28.90,1.41,2026-05-11 13:47:48
35,10,383,18.7,38.30,1.87,2026-05-11 13:47:59
36,10,325,15.9,32.50,1.59,2026-05-11 13:48:10
37,10,430,21.0,43.00,2.10,2026-05-11 13:48:21
38,10,399,19.5,39.90,1.95,2026-05-11 13:48:32
39,10,259,12.7,25.90,1.27,2026-05-11 13:48:44
40,10,325,15.9,32.50,1.59,2026-05-11 13:48:54
41,10,463,22.6,46.30,2.26,2026-05-11 13:49:05
42,10,340,16.6,34.00,1.66,2026-05-11 13:49:16
43,10,307,15.0,30.70,1.50,2026-05-11 13:49:27
44,10,616,30.1,61.60,3.01,2026-05-11 13:49:38
45,10,384,18.8,38.40,1.88,2026-05-11 13:49:49
46,10,281,13.7,28.10,1.37,2026-05-11 13:50:00
47,10,282,13.8,28.20,1.38,2026-05-11 13:50:11
48,10,542,26.5,54.20,2.65,2026-05-11 13:50:22
49,10,394,19.3,39.40,1.93,2026-05-11 13:50:34
50,10,301,14.7,30.10,1.47,2026-05-11 13:50:45

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
374.44,18.3,37.44,1.83
