loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,30,1.5,3.00,0.15,2026-05-12 15:01:23
2,10,17,1.3,1.70,0.13,2026-05-12 15:01:33
3,10,8,0.6,0.80,0.06,2026-05-12 15:01:47
4,10,13,1.0,1.30,0.10,2026-05-12 15:01:57
5,10,13,1.0,1.30,0.10,2026-05-12 15:02:08
6,10,28,2.1,2.80,0.21,2026-05-12 15:02:19
7,10,4,0.3,0.40,0.03,2026-05-12 15:02:29
8,10,2,0.2,0.20,0.02,2026-05-12 15:02:39
9,10,18,1.4,1.80,0.14,2026-05-12 15:05:09
10,10,6,0.5,0.60,0.05,2026-05-12 15:05:19
11,10,9,0.7,0.90,0.07,2026-05-12 15:05:29
12,10,21,1.6,2.10,0.16,2026-05-12 15:05:42
13,10,6,0.5,0.60,0.05,2026-05-12 15:05:52
14,10,19,1.4,1.90,0.14,2026-05-12 15:06:05
15,10,18,1.4,1.80,0.14,2026-05-12 15:06:15
16,10,22,1.7,2.20,0.17,2026-05-12 15:06:27
17,10,7,0.5,0.70,0.05,2026-05-12 15:06:39
18,10,21,1.6,2.10,0.16,2026-05-12 15:07:55
19,10,17,1.3,1.70,0.13,2026-05-12 15:08:06
20,10,22,1.7,2.20,0.17,2026-05-12 15:08:17
21,10,19,1.4,1.90,0.14,2026-05-12 15:08:27
22,10,34,2.6,3.40,0.26,2026-05-12 15:08:38
23,10,24,1.8,2.40,0.18,2026-05-12 15:08:48
24,10,8,0.6,0.80,0.06,2026-05-12 15:08:59
25,10,25,1.9,2.50,0.19,2026-05-12 15:09:10
26,10,24,1.8,2.40,0.18,2026-05-12 15:09:21
27,10,8,0.6,0.80,0.06,2026-05-12 15:09:31
28,10,27,2.0,2.70,0.20,2026-05-12 15:09:44
29,10,350,26.5,35.00,2.65,2026-05-12 15:09:54
30,10,334,25.3,33.40,2.53,2026-05-12 15:10:04
31,10,340,25.8,34.00,2.58,2026-05-12 15:10:14
32,10,274,20.8,27.40,2.08,2026-05-12 15:10:24
33,10,307,23.3,30.70,2.33,2026-05-12 15:10:35
34,10,351,26.6,35.10,2.66,2026-05-12 15:10:45
35,10,356,27.0,35.60,2.70,2026-05-12 15:10:55
36,10,373,28.2,37.30,2.82,2026-05-12 15:11:05
37,10,364,27.5,36.40,2.75,2026-05-12 15:11:15
38,10,370,28.0,37.00,2.80,2026-05-12 15:11:26
39,10,325,24.6,32.50,2.46,2026-05-12 15:11:36
40,10,361,27.3,36.10,2.73,2026-05-12 15:11:46
41,10,385,29.1,38.50,2.91,2026-05-12 15:11:56
42,10,345,26.1,34.50,2.61,2026-05-12 15:12:07
43,10,359,27.2,35.90,2.72,2026-05-12 15:12:17
44,10,359,27.2,35.90,2.72,2026-05-12 15:12:27
45,10,363,27.5,36.30,2.75,2026-05-12 15:12:37
46,10,288,21.9,28.80,2.19,2026-05-12 15:12:47
47,10,346,26.2,34.60,2.62,2026-05-12 15:12:58
48,10,374,28.4,37.40,2.84,2026-05-12 15:13:08
49,10,343,26.0,34.30,2.60,2026-05-12 15:13:18
50,10,359,27.2,35.90,2.72,2026-05-12 15:13:28

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
161.92,12.3,16.19,1.23
