loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,153,10.1,15.30,1.01,2026-05-12 15:01:23
2,10,143,9.4,14.30,0.94,2026-05-12 15:01:33
3,10,165,10.8,16.50,1.08,2026-05-12 15:01:43
4,10,122,8.0,12.20,0.80,2026-05-12 15:01:53
5,10,68,4.5,6.80,0.45,2026-05-12 15:02:03
6,10,123,8.1,12.30,0.81,2026-05-12 15:02:13
7,10,107,7.0,10.70,0.70,2026-05-12 15:02:23
8,10,156,10.2,15.60,1.02,2026-05-12 15:02:34
9,10,109,7.1,10.90,0.71,2026-05-12 15:02:44
10,10,122,8.0,12.20,0.80,2026-05-12 15:02:54
11,10,120,7.9,12.00,0.79,2026-05-12 15:03:04
12,10,133,8.8,13.30,0.88,2026-05-12 15:03:14
13,10,117,7.7,11.70,0.77,2026-05-12 15:03:24
14,10,143,9.4,14.30,0.94,2026-05-12 15:03:34
15,10,120,7.9,12.00,0.79,2026-05-12 15:03:44
16,10,121,8.0,12.10,0.80,2026-05-12 15:03:55
17,10,64,4.2,6.40,0.42,2026-05-12 15:04:05
18,10,116,7.6,11.60,0.76,2026-05-12 15:04:15
19,10,196,12.9,19.60,1.29,2026-05-12 15:04:25
20,10,127,8.4,12.70,0.84,2026-05-12 15:04:35
21,10,120,7.9,12.00,0.79,2026-05-12 15:04:45
22,10,145,9.5,14.50,0.95,2026-05-12 15:04:56
23,10,12,0.8,1.20,0.08,2026-05-12 15:05:06
24,10,133,8.8,13.30,0.88,2026-05-12 15:05:17
25,10,97,6.4,9.70,0.64,2026-05-12 15:05:27
26,10,119,7.8,11.90,0.78,2026-05-12 15:05:37
27,10,219,14.4,21.90,1.44,2026-05-12 15:05:47
28,10,101,6.7,10.10,0.67,2026-05-12 15:05:57
29,10,140,9.2,14.00,0.92,2026-05-12 15:06:07
30,10,128,8.4,12.80,0.84,2026-05-12 15:06:18
31,10,225,14.8,22.50,1.48,2026-05-12 15:06:28
32,10,129,8.5,12.90,0.85,2026-05-12 15:06:38
33,10,121,8.0,12.10,0.80,2026-05-12 15:06:48
34,10,130,8.5,13.00,0.85,2026-05-12 15:06:58
35,10,138,9.1,13.80,0.91,2026-05-12 15:07:08
36,10,205,13.5,20.50,1.35,2026-05-12 15:07:18
37,10,65,4.3,6.50,0.43,2026-05-12 15:07:28
38,10,144,9.5,14.40,0.95,2026-05-12 15:07:38
39,10,111,7.3,11.10,0.73,2026-05-12 15:07:48
40,10,126,8.3,12.60,0.83,2026-05-12 15:07:58
41,10,133,8.8,13.30,0.88,2026-05-12 15:08:09
42,10,87,5.7,8.70,0.57,2026-05-12 15:08:19
43,10,130,8.5,13.00,0.85,2026-05-12 15:08:29
44,10,112,7.4,11.20,0.74,2026-05-12 15:08:39
45,10,129,8.5,12.90,0.85,2026-05-12 15:08:53
46,10,152,10.0,15.20,1.00,2026-05-12 15:09:03
47,10,142,9.3,14.20,0.93,2026-05-12 15:09:13
48,10,135,8.9,13.50,0.89,2026-05-12 15:09:23
49,10,135,8.9,13.50,0.89,2026-05-12 15:09:33
50,10,140,9.2,14.00,0.92,2026-05-12 15:09:43

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
128.56,8.5,12.86,0.85
